,Country name,year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect
0,Afghanistan,2013,3.572,7.725,0.484,52.56,0.578,0.061,0.823,0.621,0.273
1,Albania,2013,4.551,9.359,0.759,67.24,0.632,-0.127,0.863,0.634,0.338
2,Angola,2013,3.937,9.005,0.722,53.9,0.41,-0.104,0.816,0.658,0.371
3,Argentina,2013,6.582,10.103,0.91,67.84,0.737,-0.13,0.823,0.842,0.254
4,Armenia,2013,4.277,9.277,0.723,65.68,0.504,-0.195,0.9,0.562,0.45
5,Australia,2013,7.364,10.762,0.928,72.5,0.933,0.269,0.432,0.819,0.177
6,Austria,2013,7.499,10.883,0.95,71.82,0.922,0.168,0.679,0.787,0.163
7,Azerbaijan,2013,5.481,9.592,0.77,64.12,0.672,-0.168,0.699,0.619,0.242
8,Bangladesh,2013,4.66,8.116,0.53,61.96,0.742,-0.016,0.743,0.619,0.246
9,Belarus,2013,5.876,9.839,0.923,64.04,0.723,-0.177,0.653,0.609,0.206
10,Belgium,2013,7.104,10.784,0.909,71.16,0.891,0.017,0.574,0.797,0.217
11,Benin,2013,3.479,7.964,0.577,52.54,0.783,-0.085,0.856,0.702,0.216
12,Bhutan,2013,5.569,9.123,0.819,59.6,0.81,0.353,0.802,0.779,0.217
13,Bolivia,2013,5.767,8.915,0.803,62.02,0.846,-0.067,0.812,0.759,0.41
14,Bosnia and Herzegovina,2013,5.124,9.382,0.767,66.82,0.39,0.042,0.97,0.544,0.315
15,Botswana,2013,4.128,9.728,0.856,55.24,0.767,-0.154,0.749,0.698,0.244
16,Brazil,2013,7.14,9.668,0.91,65.28,0.785,-0.095,0.707,0.818,0.276
17,Bulgaria,2013,3.993,9.813,0.829,66.0,0.603,-0.191,0.962,0.623,0.278
18,Burkina Faso,2013,3.326,7.546,0.745,51.32,0.741,-0.016,0.765,0.63,0.287
19,Cambodia,2013,3.674,8.068,0.651,59.64,0.941,0.164,0.812,0.792,0.44
20,Cameroon,2013,4.271,8.09,0.76,49.5,0.794,-0.03,0.867,0.681,0.268
21,Canada,2013,7.594,10.757,0.936,72.68,0.916,0.316,0.406,0.851,0.263
22,Chad,2013,3.508,7.498,0.714,46.06,0.488,-0.045,0.882,0.462,0.314
23,Chile,2013,6.74,10.053,0.862,69.32,0.737,0.085,0.741,0.855,0.285
24,Colombia,2013,6.607,9.512,0.901,66.36,0.841,-0.071,0.898,0.851,0.278
25,Congo (Brazzaville),2013,3.955,8.201,0.68,55.34,0.726,-0.078,0.752,0.61,0.291
26,Congo (Kinshasa),2013,4.497,6.88,0.83,51.22,0.48,0.012,0.913,0.589,0.187
27,Costa Rica,2013,7.158,9.751,0.902,70.3,0.898,0.018,0.813,0.85,0.278
28,Croatia,2013,5.885,10.069,0.751,68.2,0.627,-0.204,0.936,0.59,0.285
29,Cyprus,2013,5.439,10.414,0.744,72.82,0.656,0.102,0.867,0.748,0.42
30,Czech Republic,2013,6.698,10.42,0.888,68.52,0.726,-0.156,0.916,0.72,0.253
31,Denmark,2013,7.589,10.851,0.965,71.06,0.92,0.215,0.17,0.862,0.195
32,Dominican Republic,2013,5.016,9.525,0.878,64.46,0.889,0.021,0.752,0.793,0.295
33,Ecuador,2013,6.019,9.377,0.801,67.28,0.787,-0.191,0.646,0.851,0.267
34,Egypt,2013,3.559,9.239,0.675,60.48,0.474,-0.141,0.913,0.551,0.483
35,El Salvador,2013,6.325,8.974,0.827,64.8,0.716,-0.15,0.772,0.828,0.317
36,Estonia,2013,5.367,10.299,0.901,67.48,0.754,-0.201,0.726,0.702,0.199
37,Ethiopia,2013,4.445,7.343,0.602,55.8,0.707,-0.008,0.75,0.643,0.213
38,Finland,2013,7.445,10.722,0.941,71.12,0.919,0.04,0.306,0.769,0.195
39,France,2013,6.667,10.669,0.908,72.8,0.878,-0.125,0.699,0.8,0.205
40,Gabon,2013,3.8,9.638,0.733,56.84,0.682,-0.146,0.78,0.51,0.287
41,Georgia,2013,4.349,9.371,0.559,64.98,0.722,-0.254,0.349,0.595,0.2
42,Germany,2013,6.965,10.817,0.931,71.14,0.894,0.024,0.566,0.743,0.205
43,Ghana,2013,4.965,8.445,0.676,55.24,0.794,-0.065,0.88,0.691,0.211
44,Greece,2013,4.72,10.243,0.687,71.68,0.426,-0.272,0.941,0.689,0.482
45,Guatemala,2013,5.985,8.953,0.83,63.18,0.884,0.045,0.817,0.867,0.333
46,Guinea,2013,3.902,7.619,0.567,50.66,0.693,0.091,0.815,0.6,0.348
47,Haiti,2013,4.622,7.464,0.648,45.98,0.61,0.289,0.669,0.538,0.327
48,Honduras,2013,4.713,8.54,0.792,66.16,0.698,-0.027,0.868,0.817,0.283
49,Hungary,2013,4.914,10.14,0.877,66.08,0.674,-0.113,0.912,0.706,0.307
50,Iceland,2013,7.501,10.809,0.967,72.84,0.923,0.306,0.713,0.87,0.156
51,India,2013,4.428,8.478,0.553,58.3,0.74,0.084,0.832,0.68,0.33
52,Indonesia,2013,5.292,9.155,0.794,61.06,0.781,0.376,0.973,0.893,0.249
53,Iran,2013,5.14,9.443,0.664,64.62,0.73,0.216,0.685,0.659,0.552
54,Ireland,2013,6.76,10.884,0.955,71.8,0.884,0.331,0.558,0.814,0.245
55,Israel,2013,7.321,10.515,0.909,72.58,0.739,0.15,0.849,0.698,0.409
56,Italy,2013,6.009,10.608,0.916,72.92,0.499,-0.102,0.943,0.779,0.357
57,Ivory Coast,2013,3.739,8.274,0.709,47.1,0.739,-0.031,0.691,0.743,0.306
58,Jamaica,2013,5.709,9.151,0.865,66.46,0.793,-0.021,0.931,0.734,0.312
59,Japan,2013,5.959,10.57,0.924,74.34,0.821,-0.147,0.65,0.794,0.175
60,Kazakhstan,2013,5.835,10.074,0.889,61.76,0.782,-0.229,0.82,0.674,0.164
61,Kenya,2013,3.795,8.192,0.825,57.18,0.708,0.212,0.861,0.765,0.161
62,Kyrgyzstan,2013,5.402,8.441,0.851,62.36,0.755,-0.085,0.9,0.722,0.135
63,Latvia,2013,5.07,10.116,0.834,65.38,0.631,-0.073,0.837,0.642,0.227
64,Lebanon,2013,4.983,9.772,0.708,65.44,0.655,-0.004,0.921,0.499,0.409
65,Lithuania,2013,5.596,10.263,0.913,65.1,0.556,-0.237,0.936,0.581,0.294
66,Luxembourg,2013,7.131,11.58,0.917,72.24,0.79,-0.054,0.301,0.64,0.185
67,Madagascar,2013,3.816,7.334,0.673,57.06,0.48,-0.019,0.868,0.734,0.241
68,Malawi,2013,4.035,6.907,0.563,53.46,0.752,0.078,0.857,0.808,0.248
69,Malaysia,2013,5.77,10.037,0.831,66.08,0.791,0.264,0.755,0.736,0.317
70,Mali,2013,3.676,7.599,0.82,49.48,0.665,-0.053,0.755,0.724,0.193
71,Mauritania,2013,4.199,8.506,0.741,55.46,0.603,-0.079,0.676,0.793,0.196
72,Mexico,2013,7.443,9.832,0.759,67.04,0.739,-0.165,0.615,0.79,0.223
73,Moldova,2013,5.756,9.192,0.803,62.26,0.658,-0.069,0.941,0.582,0.261
74,Mongolia,2013,4.913,9.248,0.935,61.1,0.748,0.136,0.928,0.649,0.179
75,Montenegro,2013,5.074,9.76,0.736,67.58,0.502,-0.176,0.693,0.539,0.331
76,Morocco,2013,5.142,8.829,0.597,64.4,0.572,-0.21,0.771,0.784,0.239
77,Myanmar,2013,4.176,8.23,0.757,57.38,0.775,0.689,0.638,0.803,0.217
78,Nepal,2013,4.605,7.889,0.74,59.8,0.722,0.151,0.877,0.629,0.279
79,Netherlands,2013,7.407,10.857,0.925,71.76,0.919,0.305,0.505,0.867,0.235
80,New Zealand,2013,7.28,10.571,0.958,72.36,0.944,0.237,0.312,0.835,0.151
81,Nicaragua,2013,5.772,8.569,0.868,66.16,0.859,0.039,0.636,0.839,0.271
82,Niger,2013,3.716,7.002,0.696,50.96,0.825,-0.077,0.711,0.65,0.208
83,Nigeria,2013,4.818,8.581,0.663,47.58,0.622,0.051,0.905,0.638,0.286
