year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Cluster_ID,Country name
2017,2.662,7.697,0.491,52.8,0.427,-0.121,0.954,0.496,0.371,8,Afghanistan
2017,4.64,9.476,0.638,68.4,0.75,-0.029,0.876,0.669,0.334,10,Albania
2017,5.249,9.354,0.807,65.7,0.437,-0.167,0.7,0.642,0.289,15,Algeria
2017,6.039,10.067,0.907,68.6,0.832,-0.186,0.841,0.809,0.292,16,Argentina
2017,4.288,9.402,0.698,66.6,0.614,-0.147,0.865,0.625,0.437,17,Armenia
2017,7.257,10.798,0.95,73.3,0.911,0.317,0.411,0.78,0.225,1,Australia
2017,7.294,10.908,0.906,72.7,0.89,0.133,0.518,0.748,0.18,1,Austria
2017,5.152,9.555,0.787,65.2,0.731,-0.225,0.653,0.592,0.198,15,Azerbaijan
2017,4.31,8.334,0.713,63.8,0.896,0.012,0.635,0.569,0.214,18,Bangladesh
2017,5.553,9.814,0.9,65.8,0.621,-0.122,0.654,0.541,0.233,15,Belarus
2017,6.928,10.834,0.922,71.8,0.857,0.054,0.543,0.786,0.234,1,Belgium
2017,4.853,8.021,0.436,53.9,0.727,-0.065,0.767,0.615,0.458,8,Benin
2017,5.651,9.039,0.779,63.3,0.884,-0.12,0.819,0.698,0.434,3,Bolivia
2017,5.09,9.532,0.775,67.5,0.564,0.092,0.923,0.597,0.271,10,Bosnia and Herzegovina
2017,3.505,9.756,0.768,58.2,0.817,-0.248,0.731,0.656,0.276,0,Botswana
2017,6.333,9.583,0.905,66.2,0.765,-0.175,0.794,0.716,0.308,6,Brazil
2017,5.097,9.969,0.942,66.6,0.689,-0.154,0.911,0.614,0.189,6,Bulgaria
2017,4.647,7.627,0.785,53.4,0.614,-0.063,0.727,0.585,0.354,8,Burkina Faso
2017,4.586,8.276,0.765,61.2,0.964,0.088,0.821,0.799,0.408,4,Cambodia
2017,5.074,8.176,0.695,51.9,0.767,-0.028,0.844,0.632,0.377,19,Cameroon
2017,7.415,10.792,0.934,73.4,0.945,0.163,0.362,0.863,0.218,1,Canada
2017,3.476,6.817,0.32,45.2,0.645,0.073,0.89,0.614,0.599,12,Central African Republic
2017,4.559,7.37,0.661,47.7,0.615,0.008,0.792,0.628,0.538,5,Chad
2017,6.32,10.072,0.88,69.8,0.79,-0.02,0.836,0.838,0.291,11,Chile
2017,6.157,9.569,0.909,67.4,0.838,-0.157,0.875,0.837,0.299,6,Colombia
